ID,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
8329832,132.0,113.0,39.0,0.0,39.0,0.0,400.0,0.0
8327297,151.0,151.0,,0.0,,,1.0,0.0
8326173,293.0,166.0,30.0,0.0,71.0,0.0,1.0,0.0
8325142,177.0,149.0,,0.0,,,400.0,0.0
8323889,347.0,97.0,,0.0,,,1.0,0.0
8331971,120.0,64.0,46.0,0.0,46.0,0.0,30.0,0.0
8328311,292.0,137.0,84.0,0.0,84.0,0.0,400.0,0.0
8332088,354.0,162.0,45.0,0.0,113.0,0.0,1.0,0.0
8331929,36.0,,,0.0,,,,1.0
8326390,74.0,63.0,,0.0,,,400.0,0.0
8327342,302.0,39.0,,0.0,,,1.0,0.0
8328159,283.0,189.0,21.0,2.0,21.0,1.0,400.0,0.0
8331745,118.0,92.0,,0.0,,,400.0,0.0
8325065,157.0,133.0,,0.0,,,1.0,0.0
8331957,16.0,1.0,,0.0,,,1.0,1.0
8322274,113.0,95.0,45.0,0.0,58.0,0.0,400.0,0.0
8324771,188.0,78.0,36.0,1.0,57.0,2.0,400.0,0.0
8321971,208.0,50.0,,0.0,,,1.0,0.0
8329142,285.0,50.0,23.0,0.0,37.0,1.0,30.0,0.0
8330396,301.0,248.0,80.0,0.0,80.0,0.0,400.0,1.0
8330796,294.0,112.0,112.0,0.0,112.0,1.0,30.0,0.0
8324400,65.0,56.0,,1.0,,,400.0,0.0
8325459,174.0,151.0,,0.0,,,1.0,0.0
8332079,197.0,83.0,,0.0,,,400.0,0.0
8325319,291.0,,,0.0,,,,0.0
8327385,42.0,34.0,,0.0,,,1.0,0.0
8322818,354.0,428.0,,1.0,,,400.0,0.0
8325984,330.0,95.0,79.0,1.0,79.0,1.0,1.0,0.0
8326646,110.0,,,0.0,,,,0.0
8323542,296.0,185.0,66.0,0.0,103.0,1.0,400.0,0.0
8331536,262.0,38.0,38.0,0.0,38.0,0.0,1.0,0.0
8324567,128.0,252.0,45.0,1.0,84.0,0.0,1.0,0.0
8326466,133.0,6.0,,0.0,,,1.0,0.0
8330061,40.0,7.0,,0.0,,,1.0,1.0
8329148,223.0,221.0,83.0,0.0,128.0,1.0,400.0,0.0
8324550,238.0,171.0,,0.0,,,1.0,0.0
